"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\autoshader.svg", "XML", 0, 194, 0, 0, 0, 0, 0, 1, 195
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\color_paint.svg", "XML", 0, 175, 0, 0, 0, 0, 0, 1, 176
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\height_add.svg", "XML", 0, 24, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\height_div.svg", "XML", 0, 189, 0, 0, 0, 0, 1, 7, 197
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\height_flat.svg", "XML", 0, 24, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\height_mul.svg", "XML", 0, 194, 0, 0, 0, 0, 1, 7, 202
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\height_slope.svg", "XML", 0, 103, 0, 0, 0, 0, 1, 2, 106
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\height_smooth.svg", "XML", 0, 12, 0, 0, 0, 0, 1, 1, 14
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\height_sub.svg", "XML", 0, 24, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\holes.svg", "XML", 0, 9, 0, 0, 0, 0, 1, 1, 11
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\layers.svg", "XML", 0, 102, 0, 0, 0, 0, 0, 1, 103
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\multimesh.svg", "XML", 0, 40, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\navigation.svg", "XML", 0, 41, 0, 0, 0, 0, 1, 1, 43
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\picker_checked.svg", "XML", 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\region_add.svg", "XML", 0, 95, 0, 0, 0, 0, 0, 1, 96
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\region_remove.svg", "XML", 0, 102, 0, 0, 0, 0, 0, 1, 103
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\terrain3d.svg", "XML", 0, 153, 0, 0, 0, 0, 0, 1, 154
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\texture_paint.svg", "XML", 0, 151, 0, 0, 0, 0, 0, 1, 152
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\texture_spray.svg", "XML", 0, 165, 0, 0, 0, 0, 0, 1, 166
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\wetness.svg", "XML", 0, 37, 0, 0, 0, 0, 1, 4, 42
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\plugin.cfg", "Properties", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Lenovo\Local Game Development\saving-and-loading\icon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Lenovo\Local Game Development\saving-and-loading\out\linecount.json", "JSON", 0, 0, 16865, 0, 0, 0, 0, 0, 16865
"Total", "-", 1869, 2395, 16865, 12, 30, 58323, 236, 1470, 81200
